id,node_id,position
29325773,322623847,0
29325773,322623842,1
29340510,322770546,0
29340510,322770547,1
29353567,322882092,0
29353567,322882093,1
29353567,322882094,2
29353567,322882095,3
29353567,322882092,4
29372909,322963438,0
29372909,322963439,1
29372909,322963441,2
29372909,322963442,3
29372909,322963443,4
29372909,322963444,5
29372909,322963445,6
29372909,322963449,7
29372909,322963450,8
29372909,322965430,9
29372909,1875768253,10
29372909,1875740070,11
29372909,322965276,12
29372909,322965278,13
29372909,322965282,14
29372909,322965284,15
29372909,1793099486,16
29372909,1793099482,17
29376203,323129182,0
29376203,323129183,1
29376203,3846248306,2
29376203,323129184,3
29378254,323147958,0
29378254,323147959,1
29378254,323148062,2
29378254,441511127,3
29378254,441511128,4
29378254,441511125,5
29384680,323206478,0
29384680,323206479,1
29490474,325086589,0
29490474,325086868,1
29490474,325086880,2
29490474,325086940,3
29490474,325086980,4
29490474,325087169,5
29490474,325087592,6
29490474,325087583,7
29490474,325087507,8
29490474,325087502,9
29490474,325087340,10
29490474,325088542,11
29490474,325088524,12
29490474,325088387,13
29490474,325088337,14
29490474,325088278,15
29490474,325088240,16
29490474,325089189,17
29490474,325089562,18
29492920,325104480,0
29492920,325105876,1
29492920,325105878,2
29492920,325105879,3
29492920,325105880,4
29492920,325105881,5
29492920,325105882,6
29492920,325105883,7
29492920,325105884,8
29492920,325105885,9
29492920,325105886,10
29492920,325105887,11
36926040,429231698,0
36926040,1783464634,1
36926040,429410605,2
36926040,3314105738,3
36926040,1783463395,4
36926040,429410592,5
36927022,1891785847,0
36927022,1785929988,1
36927022,1785929989,2
36927022,1785929952,3
36927022,3428425751,4
36927022,1785929990,5
36927022,1785929996,6
36927022,1891785848,7
36927022,1785929968,8
36927022,1785930003,9
36927022,1795660568,10
36927022,1785930007,11
36927022,1785929993,12
36927022,3355590936,13
36927022,1785930006,14
36927022,1795660558,15
36927022,1785929994,16
36927022,1785929961,17
36927022,1785929986,18
36927022,3355589086,19
36927022,1785930004,20
36927022,3331455812,21
36927022,1785929960,22
36927022,3355589083,23
36927022,1785929969,24
36927022,1785929978,25
36927022,1795625117,26
36927022,1795625115,27
36927022,1785929976,28
36927022,1785929971,29
36927022,1785930001,30
36927022,1785929962,31
36927022,3355578741,32
36927022,1785929967,33
36927022,1785929958,34
36927022,1785929966,35
36927022,1785929999,36
36927022,1785929983,37
36927022,1785929998,38
36927022,3298363480,39
36927022,429417797,40
36927022,429417798,41
36927022,429417799,42
36927022,429417761,43
36927022,3298302728,44
36927022,429417800,45
36927022,1785954131,46
36931853,429460525,0
36931853,3235843196,1
36931853,429460371,2
36931853,3306683526,3
36931853,429460373,4
36931853,3306683524,5
36931853,3306683525,6
36931853,2377178507,7
37142795,429410618,0
37142795,432591594,1
37142795,1795331946,2
37571582,440296461,0
37571582,440296463,1
37571582,440296464,2
37571582,3240950524,3
37571582,440015629,4
37571582,440296465,5
37571582,440296467,6
37571582,3240950507,7
37576134,440391615,0
37576134,1832905952,1
37576134,429460929,2
48731580,618543598,0
48731580,618543599,1
48731580,618543600,2
48731580,618543601,3
48731580,618543602,4
48731580,618543603,5
48731580,618543604,6
48731580,618543605,7
48731580,618543606,8
48731580,618543598,9
49396521,627271432,0
49396521,627271431,1
49396521,627271430,2
49396521,627271429,3
49396521,627271432,4
49707440,631780423,0
49707440,631780425,1
49707440,631780426,2
49707440,631780428,3
49707440,631780430,4
49707440,631780431,5
60521891,755760424,0
60521891,1891785859,1
60521891,755760426,2
62325262,778608837,0
62325262,778609247,1
62325262,778608558,2
62325262,778609089,3
62325262,778608493,4
62325262,778609064,5
62325262,778608761,6
62325262,778609163,7
62325262,778608941,8
62325262,778608551,9
62325262,778609083,10
62325262,778608796,11
62325262,778609183,12
62325262,778609142,13
62325262,778608919,14
62325262,778608794,15
62325262,778609182,16
62325356,778608714,0
62325356,778608934,1
62325356,778608542,2
62326581,778618110,0
62326581,778609175,1
62330191,778660589,0
62330191,778660257,1
62330191,322973173,2
62333006,778703541,0
62333006,778703812,1
62333006,778703318,2
62333006,778702816,3
62333006,778703561,4
62333006,778703460,5
62333006,778703023,6
62333006,778703734,7
62333006,778703255,8
62333006,778704052,9
62333006,778703497,10
62333006,778703055,11
62333006,778703772,12
62333006,778702944,13
62333006,778703524,14
62333006,778702962,15
62333006,778703657,16
62333006,778703199,17
62333006,778703996,18
62333006,778703437,19
62333006,778703001,20
62333006,778702876,21
62333006,778703580,22
62333006,778703130,23
62333006,778703892,24
62333006,778703370,25
62333006,778702922,26
62333006,778703619,27
62333006,778703900,28
62333006,778703373,29
62333006,778702926,30
62333006,778703620,31
62333006,778703164,32
62333006,778703938,33
62333006,778703402,34
62333006,778702966,35
62333006,778704029,36
62333006,778703520,37
62333006,778703081,38
62333006,778703808,39
62333006,778703314,40
62333006,778702794,41
62333006,778703553,42
62333006,778703109,43
62333006,778703855,44
62333006,778703729,45
