id,key,value,type
29325773,gauge,1676,regular
29325773,usage,main,regular
29325773,bridge,yes,regular
29325773,railway,rail,regular
29325773,voltage,25000,regular
29325773,frequency,50,regular
29325773,electrified,contact_line,regular
29325773,passenger_lines,2,regular
29340510,railway,construction,regular
29340510,electrified,no,regular
29340510,construction,rail,regular
29340510,gauge,1000,historic
29340510,passenger_lines,1,regular
29353567,power,substation,regular
29372909,name,Narol Sarkhej Road,regular
29372909,oneway,yes,regular
29372909,highway,primary,regular
29372909,motorroad,no,regular
29376203,name,Gandhi Bridge,regular
29376203,layer,2,regular
29376203,bridge,yes,regular
29376203,oneway,-1,regular
29376203,highway,primary,regular
29376203,motorroad,no,regular
29378254,name,Gandhinagar-Ahmedabad Highway,regular
29378254,oneway,yes,regular
29378254,highway,primary,regular
29384680,ref,SH71,regular
29384680,name,Gandhinagar-Ahmedabad Highway,regular
29384680,layer,1,regular
29384680,bridge,yes,regular
29384680,oneway,yes,regular
29384680,highway,primary,regular
29384680,motorroad,no,regular
29490474,power,line,regular
29492920,highway,tertiary,regular
29492920,created_by,Potlatch 0.10f,regular
36926040,highway,unclassified,regular
36927022,highway,tertiary,regular
36931853,highway,living_street,regular
37142795,highway,unclassified,regular
37571582,highway,unclassified,regular
37576134,highway,service,regular
48731580,source,Yahoo hires,regular
48731580,natural,water,regular
49396521,name,Harkuvar Setanin  Haveli,regular
49396521,tourism,attraction,regular
49707440,highway,pedestrian,regular
60521891,highway,residential,regular
62325262,ref,NH48,regular
62325262,name,Sardar Patel Ring Road,regular
62325262,lanes,2,regular
62325262,oneway,yes,regular
62325262,highway,trunk,regular
62325262,surface,paved,regular
62325262,motorroad,no,regular
62325356,oneway,yes,regular
62325356,highway,tertiary,regular
62326581,ref,NH47,regular
62326581,name,Sardar Patel Ring Road,regular
62326581,lanes,2,regular
62326581,layer,1,regular
62326581,bridge,yes,regular
62326581,oneway,yes,regular
62326581,highway,trunk,regular
62326581,surface,paved,regular
62326581,motorroad,no,regular
62330191,ref,NH8A,regular
62330191,name,NH8A,regular
62330191,oneway,yes,regular
62330191,highway,trunk,regular
62333006,highway,tertiary,regular
62518563,highway,tertiary,regular
68026538,highway,residential,regular
80831916,name,Staff Quarters,regular
80831916,building,yes,regular
85209894,name,Patang - The Revolving Restaurant,regular
85209894,source,http://www.neelkanthpatang.com/,regular
85209894,amenity,restaurant,regular
85209894,cuisine,multicuisine,regular
85209894,website,http://www.neelkanthpatang.com/,regular
85209894,building,yes,regular
85209894,capacity,150,regular
85209894,city,Ahmedabad,addr
85209894,street,Nehru Bridge,addr
85209894,postcode,380009,addr
85209894,opening_hours,"Mo-Su 12:00-15:00,19:00-23:30",regular
104568392,highway,footway,regular
118695193,name,Smriti Mandir,regular
118695193,amenity,place_of_worship,regular
118695193,religion,jain,regular
131653363,ref,Ring Road,regular
131653363,name,S P Ring Road,regular
131653363,lanes,2,regular
131653363,oneway,yes,regular
131653363,highway,primary,regular
